"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASVfa376966","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Sharpea","s__azabuensis"
"ASV424a08e6","k__Bacteria","p__Cyanobacteriota","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__Zag_111","s__"
"ASVd1f02dd9","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVba2be674","k__Bacteria","p__Bacillota","c__Bacilli","o__Izemoplasmatales","f__","g__","s__"
"ASV38375e06","k__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Jeotgalicoccus","s__"
"ASV7b2e02a7","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__"
"ASVa03c4da1","k__Bacteria","p__Bacillota","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__"
"ASVea64c8c7","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__"
"ASVc0f885bc","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASVdf1e2135","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia vadinBB60 group","f__","g__","s__"
"ASV761faeae","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__"
"ASV667cb643","k__Bacteria","p__Thermodesulfobacteriota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Bilophila","s__"
"ASVba355cee","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVc704e4e6","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV07f3667c","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV631d0f72","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family XIII AD3011 group","s__"
"ASVc1f1bd90","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-008","s__"
"ASV88dd0eec","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ethanoligenenaceae","g__Acetanaerobacterium","s__"
"ASV0b3adf79","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Acutalibacter","s__"
"ASV60ca8906","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASVe3e329fb","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASV53a9cdd7","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Tractidigestivibacter","s__"
"ASVac6a341b","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASV48d50d39","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium","s__"
"ASV5a0254ff","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASV1ed8f5d3","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV585cc897","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASVd6fd84f2","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__","s__"
"ASVac1bf9de","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV444deab0","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASV8c1c48ed","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__intestinalis"
"ASV8433b691","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__","s__"
"ASV45b5c412","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASVabd8d1cd","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASVe501a4ef","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium] oxidoreducens group","s__"
"ASV17ff20a6","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Faecalimonas","s__"
"ASV9f6edb7c","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__"
"ASV35655d79","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__Peptococcus","s__"
"ASVbaa16ae7","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASVce0d42f3","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__","s__"
"ASVc90649d5","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__chinchillae"
"ASV6819a7e8","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__Nitrosomonas","s__"
"ASV2c64b1da","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae NK4B4 group","s__"
"ASV4a46d237","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV83dfb300","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV703152cb","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV51313b84","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASVb77c7728","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASV5f4c0f6a","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia vadinBB60 group","f__","g__","s__"
"ASV3c4a2d86","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Anaerofustaceae","g__Anaerofustis","s__stercorihominis"
"ASVd45a2929","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV9090a500","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Sharpea","s__"
"ASV891f72a8","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium] siraeum group","s__"
"ASVc57dcd11","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVca1e6f22","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Ornithinimicrobium","s__"
"ASVb8a9bd04","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia vadinBB60 group","f__","g__","s__"
"ASVccda18f6","k__Bacteria","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__succinatutens"
"ASV3f668f00","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASVef70269d","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASVa4004fa4","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Faecalicatena","s__"
"ASV30bac526","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASVc9484c9d","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__HT002","s__"
"ASVb4491ced","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__","s__"
"ASV0eb65213","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__"
"ASVbd22c979","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066575","s__"
"ASVf4b4527a","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV5bdcad2f","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__endophytica"
"ASV691c9978","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae NK3B31 group","s__"
"ASV6dbcdaa0","k__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__hyointestinalis"
"ASVb17273f3","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASVf268a405","k__Bacteria","p__Bacillota","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__"
"ASV6b734d47","k__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__","s__"
"ASVd9b63e0c","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV6fb58445","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV5af9797d","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__"
"ASVa28fb1c2","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV6c710b53","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASVfdb67aa3","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASVb7ee27aa","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__","s__"
"ASV1fb436f7","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASVdb9e5976","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium","s__"
"ASV05fbda9f","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Knoellia","s__"
"ASV66e35237","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Ornithinimicrobium","s__"
"ASVf34f2797","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV9dcad5a4","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV80184feb","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia vadinBB60 group","f__","g__","s__"
"ASVdb81d43b","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV17fd229f","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV1725c4cb","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASV8ef6eb70","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__"
"ASV56d5d2cf","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASVe14b01bb","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__"
"ASV71e36241","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASV885d8505","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASV06430fb1","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV641dfe59","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVc8d94a09","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV9f080a4f","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family XI","g__Anaerococcus","s__"
"ASVa60b30c3","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV83b709e4","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV95936930","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066575","s__"
"ASV3d74ef8a","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium","s__"
"ASVc1c9855f","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__acidominimus"
"ASV30603670","k__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__","s__"
"ASV7deb1ddf","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__"
"ASV1aa6f22e","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__"
"ASV9fbd438a","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae UCG-010","s__"
"ASVe9573d20","k__Bacteria","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__succinatutens"
"ASVe1953911","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASV04c82277","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASVb0b7cf2a","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASVd0b2c900","k__Bacteria","p__Bacillota","c__Clostridia","o__","f__","g__","s__"
"ASV7208067b","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV820ffd5e","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia vadinBB60 group","f__","g__","s__"
"ASV79ac3be3","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Acutalibacter","s__"
"ASVcc8d811b","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVc3c8b736","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family XIII AD3011 group","s__"
"ASV1b129e81","k__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenella","s__"
"ASVc27fe306","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__"
"ASV2de21b30","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__Candidatus Saccharimonas","s__"
"ASV46334e83","k__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Salinicoccus","s__"
"ASVbd36fc8b","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASV7aaf714b","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Paenalcaligenes","s__"
"ASV06fbb334","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASVb421102b","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASVa5550809","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__HT002","s__"
"ASV20ba966f","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Dubosiella","s__"
"ASVfb2725d1","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASVf5c3e485","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__","s__"
"ASVe7f38bce","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASV26ff12b0","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASVfd891b7d","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia vadinBB60 group","f__","g__","s__"
"ASV6c2e1271","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__HT002","s__"
"ASV3833c66b","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__"
"ASV7cb6fc17","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family XI","g__Anaerococcus","s__"
"ASV583ba1fb","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium","s__"
"ASV8dc0e761","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Asteroleplasma","s__"
"ASV9387471e","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__"
"ASVd85577c3","k__Bacteria","p__Bacillota","c__Bacilli","o__RF39","f__","g__","s__"
"ASV68ab35e7","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__"
"ASVd9cb80ec","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Acutalibacter","s__"
"ASV0940902e","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Sharpea","s__"
"ASV669271bc","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenisphaera","s__"
"ASVd08328b8","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASVbed1a2ba","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__","s__"
"ASV50c3f393","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__parvirubra"
"ASV3c6d4e26","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASV40e62a2b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium] siraeum group","s__"
"ASVc94cef69","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__"
"ASV02599beb","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium] siraeum group","s__"
"ASV0ad9389c","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASV4a16f3be","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASVaf71fbd3","k__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Promicromonosporaceae","g__","s__"
"ASV7521d1e3","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214 group","s__"
"ASV577148ed","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV7fadfb0d","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__HT002","s__"
"ASVd25d90eb","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV68e1256b","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV368aeeb2","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASVad63addd","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASV62688197","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Leyella","s__"
"ASVbe18c12a","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodospirillales","f__","g__","s__"
"ASV5e633d36","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae RC9 gut group","s__"
"ASV449bd514","k__Bacteria","p__Bacillota","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae R-7 group","s__"
"ASV3bff904a","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__"
"ASV2aea7264","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
"ASV47ba227d","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASV732820ff","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rickettsiales","f__","g__","s__"
"ASV2c079f44","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__ultunensis"
"ASV0561f248","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Anaerofustaceae","g__Anaerofustis","s__"
"ASV3ee9aaad","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__"
"ASV9f618cb4","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__","s__"
"ASVc273ea8b","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__umbonata"
"ASV5e9ab6f5","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__indistinctus"
"ASV079c228b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASVdc4298e2","k__Bacteria","p__Bacillota","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__"
"ASVf53efe36","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__"
"ASVd96f675f","k__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella","s__albertii"
"ASV5239924f","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVef62d7c8","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__","s__"
"ASV8b6eb874","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"ASVcb26c53c","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASV76680603","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__","s__"
"ASV539462dd","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV9be6f13b","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__UCG-010","g__","s__"
"ASVfb9d46a2","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__"
"ASV3e63f8b5","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__"
"ASVed095502","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__","s__"
"ASVcae3d762","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__ovatus"
"ASVbacd5d91","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__","s__"
"ASVd4496054","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium","s__"
"ASVbd82a5b4","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__","g__","s__"
"ASV6c7cd76c","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium] oxidoreducens group","s__"
"ASV341714ba","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASV92d864bc","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__"
"ASV808b9eac","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__","s__"
"ASVe86efb8a","k__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Rhodobacterales","f__Paracoccaceae","g__Paracoccus","s__"
"ASVcc055faf","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASV9b46b744","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Terrisporobacter","s__"
"ASV00808f71","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__","s__"
"ASVe29fa90f","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV17ac76ae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV9a4fb141","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV8955a12a","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__HT002","s__"
"ASVda2d6dff","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__"
"ASVb44ace1c","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASV90b5a0d0","k__Eukaryota","p__","c__","o__","f__","g__","s__"
"ASVf8810478","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridia UCG-014","f__","g__","s__"
